"sentence1","sentence2","sent_1","sent","id"
"Анализы в [**Больница**]: лейкоциты 5.8 Гематокрит 33.6 (средний объём эритроцитов 836) Тромбоциты 278 и креатинкиназа 215.","Анализы показывают тромбоцитопению","contradiction","2","2429d1a6-66c7-11e7-9437-f45c89b91419"
"Остеоартрит левого бедра состояние после эндопротезирования правого бедра","Анамнез боли в пояснице","neutral","0","240f1bb8-66c7-11e7-a4a9-f45c89b91419"
"Примерно за неделю до поступления находился в обычном состоянии. Потом стала нарастать прогрессирующая вялость и утомляемость одышка при нагрузке в течение трех-четырех дней.","Анамнез типичный","contradiction","2","18970c48-66c7-11e7-8ece-f45c89b91419"
"Панкреатит в анамнезе.","Анамнез: алкоголизм","neutral","0","2402aa90-66c7-11e7-87c0-f45c89b91419"
"Была проведена компьютерная томография брюшной полости которая показала значительный асцит расширение тонкой и толстой кишки возможное утолщение стенок толстой кишки без признаков перфорации.","Анамнез: алкоголизм","neutral","0","2416fcac-66c7-11e7-aeed-f45c89b91419"
"При эндоскопии верхних и нижних отделов [**3067-8-27**] обнаружено варикозное расширение вен пищевода желудка и прямой кишки но активного кровотечения не было.","Анамнез: алкоголизм","neutral","0","2428de36-66c7-11e7-ba84-f45c89b91419"
"ХОБЛ бронхит кишечная непроходимость опухоль стромы желудочно-кишечного тракта подагра портальная гипертензия","Анамнез: алкоголизм","neutral","0","24419726-66c7-11e7-9b62-f45c89b91419"
"Тяжёлый алкоголизм и ДТ.","Анамнез: алкоголизм","entailment","1","242122fe-66c7-11e7-817c-f45c89b91419"
"Инфекция мочевыводящих путей в анамнезе.","Анамнез: отклонения в результатах анализов мочи","entailment","1","240d0c54-66c7-11e7-b851-f45c89b91419"
"Вчера около полудня на ангиограмме зафиксирован тромб.","ангиограмма была отрицательной","contradiction","2","24235b5a-66c7-11e7-a99a-f45c89b91419"
"Выполнено удаление псевдоаневризмы левой бедренной кости.","аневризма была ятрогенной","neutral","0","24016892-66c7-11e7-9cd1-f45c89b91419"
"Аневризма брюшной аорты размером 47 см.","аневризма инфраренальная","neutral","0","189f58c2-66c7-11e7-ac5c-f45c89b91419"
"Продолжались приступы головокружения.","Анемия в анамнезе","neutral","0","24109eac-66c7-11e7-8762-f45c89b91419"
"Хроническая почечная недостаточность.","Анемия и гипертония","neutral","0","24035ee8-66c7-11e7-a9a6-f45c89b91419"
"Множественные дивертикулы в нисходящей и сигмовидной кишке некоторые с прилипшим тромбом.","Аномалии в толстой кишке","entailment","1","24238d64-66c7-11e7-9b9b-f45c89b91419"
"Компрессионный перелом 4-5 позвонков поясничного отдела.","Аномалия позвонка в поясничном отделе позвоночника","entailment","1","24477954-66c7-11e7-858d-f45c89b91419"
"Рецидив отмечен при биопсии мозга [**2663-5-19**].","Аномальная биопсия головного мозга","entailment","1","23ed1162-66c7-11e7-b2f1-f45c89b91419"
"Была проведена компьютерная томография брюшной полости которая показала значительный асцит расширение тонкой и толстой кишки возможное утолщение стенок толстой кишки без признаков перфорации.","Аномальная компьютерная томография","entailment","1","2416f8f6-66c7-11e7-bb05-f45c89b91419"
"ЭКГ выявила синусовую тахикардию со слабым развитием R-зубца и инверсию Т-зубца в V4-V6.","Аномальная ЭКГ","entailment","1","242b337a-66c7-11e7-8acf-f45c89b91419"
"Анамнез: двустворчатый аортальный клапан.","Аномальный аортальный клапан","entailment","1","2426aef4-66c7-11e7-b3bb-f45c89b91419"
"УЗИ на 23 недели показало несоответствие размеров что объясняется синдромом переливания крови у близнецов.","Аномальный кровоток в пуповине близнецов","neutral","0","241a97ae-66c7-11e7-a325-f45c89b91419"
"Сердечно-сосудистые системы S1 и S2 без шумов.","Аномальных сердечных тонов нет.","entailment","1","18940dc0-66c7-11e7-935e-f45c89b91419"
"Часто принимает Vanco 1 гм и Levofloxacin 750 мг.","Антибактериальная терапия не показана","contradiction","2","189b1d06-66c7-11e7-9742-f45c89b91419"
"Пациенту вводили 500 мг левофлоксацина внутривенно в сторонней больнице а в нашем отделении получил внутривенно ванкомицин а также цефтазидим.","Антибиотики не принимались.","contradiction","2","2412d45e-66c7-11e7-8a7f-f45c89b91419"
"Гепарин был отменён.","Антикоагулянт был отменен","entailment","1","23feb598-66c7-11e7-85f3-f45c89b91419"
"Прием кумадина был приостановлен из-за операции на глазах.","Антикоагулянт временно отменён","entailment","1","1895e4f6-66c7-11e7-8033-f45c89b91419"
"Затем он был переведен сюда где его состояние не соответствовало ОКС и гепарин был отменён.","Антикоагулянтная терапия не проводилась.","contradiction","2","23f214c0-66c7-11e7-83a4-f45c89b91419"
"Было введено [**3334**] единиц гепарина.","Антикоагулянты не применялись","contradiction","2","243d139c-66c7-11e7-9958-f45c89b91419"
"Вирусная нагрузка (цитомегаловирус) при поступлении была отрицательной.","антитела цитомегаловируса положительны.","neutral","0","240bd638-66c7-11e7-ac0f-f45c89b91419"
"Ее антитромбоцитарные антитела были положительными.","антитромбоцитарные антитела были отрицательными","contradiction","2","24125ada-66c7-11e7-8ddc-f45c89b91419"
"Аорта слабо извилистая и кальцифицированная.","аорта в норме","contradiction","2","18995726-66c7-11e7-863d-f45c89b91419"
"Аорта слабо извилистая и кальцифицированная.","аорта слегка извилистая","entailment","1","18995594-66c7-11e7-8a11-f45c89b91419"
"Требовалось лечение апноэ недоношенного ребёнка с помощью кофеина которое он продолжает принимать и на момент этой записи.","Апноэ в результате недоношенности","entailment","1","189a5be4-66c7-11e7-bf1e-f45c89b91419"
"Состояние после аппендэктомии.","Аппендикс был удалён","entailment","1","2407ff0c-66c7-11e7-8a46-f45c89b91419"
"Состояние после аппендэктомии.","Аппендикс был удалён","entailment","1","2419bc30-66c7-11e7-8dec-f45c89b91419"
"Не замечал связи боли с приёмом пищи или работой кишечника.","Аппендицит","neutral","0","189b4a22-66c7-11e7-8ae9-f45c89b91419"
"Никаких значимых результатов при обследовании согласно [**Фамилия врача 1775**].","Аритмии у больного не было.","neutral","0","241574f4-66c7-11e7-9fdc-f45c89b91419"
"Фибрилляция/трепетание предсердий в течение ~2 лет без антикоагуляции 2.","Аритмия","entailment","1","24070876-66c7-11e7-a6f4-f45c89b91419"
"Находясь в отделении реанимации обнаружена фибр предсердий с частотой 150 и блокадой 2:1 давление 170/110.","Аритмия","entailment","1","24138554-66c7-11e7-bf6c-f45c89b91419"
"Фибрилляция предсердий начало [**8-19**] снимок [**1-16**] рецидив [**2-18**] 9.","Аритмия","entailment","1","24409470-66c7-11e7-8eda-f45c89b91419"
"Мерцательная аритмия с [**2859-8-2**] 3.","Аритмия в анамнезе","entailment","1","242d0894-66c7-11e7-a63f-f45c89b91419"
"Фибрилляция предсердий абляция [**2-4**] 4.","Аритмия в анамнезе","entailment","1","243027f4-66c7-11e7-90ec-f45c89b91419"
"История фибрилляции предсердий.","Аритмия в анамнезе","entailment","1","24396e7e-66c7-11e7-9792-f45c89b91419"
"анамнез: мерц аритмия рак предстательной железы надлобковая катетеризация (со случайной гематурией)","Аритмия в анамнезе","entailment","1","2441ee78-66c7-11e7-9152-f45c89b91419"
"Фибриляция предсердий гипертензия глаукома","Аритмия и высокое кровяное давление","entailment","1","24204474-66c7-11e7-833a-f45c89b91419"
"Телеметрия в скорой помощи была отмечена широкими быстрыми сокращениями которые расценивались признаки желудочковой тахикардии.","Аритмия.","entailment","1","24343970-66c7-11e7-9333-f45c89b91419"
"АД осталось в норме.","Артериальное давление было в пределах нормы","entailment","1","2418c7d0-66c7-11e7-bcee-f45c89b91419"
"После 7 минут сердечно-легочной реанимации считался практически безнадёжным но после введения 5 мг эпинефрина восстановился пульс со сложным идиовентрикулярным ритмом и давлением 80/25.","Артериальное давление было стабильным после восстановления пульса","contradiction","2","23f85680-66c7-11e7-bf6c-f45c89b91419"
"САД снизилось со 120 до 90.","артериальное давление падает","entailment","1","23fa4974-66c7-11e7-b664-f45c89b91419"
"АД повысилось после установки второй капельницы с болюсом и достигло систолического 130 с после ~700 куб. см.","Артериальное давление пациента не изменилось после приема жидкости","contradiction","2","242a92ee-66c7-11e7-9c7a-f45c89b91419"
"АД повысилось с 130/82 до 160/88 [**3-12**] при выздоровлении развился дискомфорт в левой половине грудной клетки.","Артериальное давление пациентов оставалось в норме.","contradiction","2","243f360c-66c7-11e7-86de-f45c89b91419"
"Он был переведен в стационар. На [**2691-4-16**] проведена повторная оценка глотания у постели больного.","Аспирация в анамнезе","neutral","0","189e49a4-66c7-11e7-8239-f45c89b91419"
"Левая огибающая артерия была окклюзирована.","Атеросклероз коронарной артерии","entailment","1","243e2ce6-66c7-11e7-9c01-f45c89b91419"
"Заболевания периферических сосудов.","Атеросклероз сосудов","entailment","1","240d895e-66c7-11e7-9e30-f45c89b91419"
"По-прежнему жалуется на малопродуктивный кашель заложенность носа жар/озноб хрипы.","Афебрильна","contradiction","2","189e52e4-66c7-11e7-945b-f45c89b91419"
"66-летний мужчина поступивший [**2852-5-26**] из др. больницы с 3-дневной историей болей в животе и однодневной лихорадкой.","Афебрильный","contradiction","2","240eb4ca-66c7-11e7-b0df-f45c89b91419"
"Пробовал принимать Адвил и ацетоминофен которые поначалу помогали облегчить боль.","Ацетаминофен и Адвил помогают от боли","entailment","1","2417b7dc-66c7-11e7-b353-f45c89b91419"
"Целлюлит правой нижней конечности.","Бактериальная инфекция кожи","entailment","1","2425b7c6-66c7-11e7-84e1-f45c89b91419"
"Культуры крови и мокроты были отрицательными (включая мазки на AFB культуры грибков ВПГ РС-вирус грипп A/B).","Бактериемии нет.","neutral","0","240ccde8-66c7-11e7-864e-f45c89b91419"
"Через 48 часов при отрицательных культурах антибиотики были отменены.","Бактерии в посевах крови у пациента отсутствовали.","neutral","0","24130b10-66c7-11e7-b959-f45c89b91419"
"Появилась на свет энергичной с показателями Апгар 7 и 8.","Баллы Апгара в пределах нормальных значений","entailment","1","23fd8c1a-66c7-11e7-9bb7-f45c89b91419"
"В настоящее время тошнит двоится в глазах видит жуков ползающих по потолку.","Бдительный и ориентированный без зрительных галлюцинаций","contradiction","2","189b11b8-66c7-11e7-8da7-f45c89b91419"
"Отрицает что когда-либо раньше испытывал подобное кровотечение.","Без кровопотери","contradiction","2","240b0e06-66c7-11e7-8c3b-f45c89b91419"
"Пациент переносил это хорошо.","Без осложнений","entailment","1","2417aea4-66c7-11e7-83c6-f45c89b91419"
"Говорит что чувствовал себя хорошо до утра [**11-19**] когда проснулся с жаром ознобом и головокружением.","Без признаков лихорадки","contradiction","2","2444aecc-66c7-11e7-b02c-f45c89b91419"
"Других новых событий нет.","Без улучшения","neutral","0","243e1576-66c7-11e7-8f18-f45c89b91419"
"Получала бетаметазон один раз у неё начались схватки. При осмотре раскрытие 4 см начали давать сульфат магния.","Беременна и может преждевременно родить","entailment","1","23ff17f6-66c7-11e7-8658-f45c89b91419"
"Беременность осложнилась преждевременным преждевременным разрывом плодных оболочек накануне родов.","беременность была доношенной","contradiction","2","2402194a-66c7-11e7-adcc-f45c89b91419"
"Поступила в [**Больница 70**] с преждевременными родами [**3021-10-7**].","Беременность в срок","contradiction","2","243bfd38-66c7-11e7-bb9d-f45c89b91419"
"Находилась в больнице в течение одного месяца за пять дней до родов.","беременность высокого риска","entailment","1","18996040-66c7-11e7-b441-f45c89b91419"
"Поступила со спонтанным началом родов которые закончились самопроизвольными вагинальными родами без анестезии.","беременность доношенная","neutral","0","189b274a-66c7-11e7-bf4b-f45c89b91419"
"Ребёнок родился от матери 27 лет Gravida III Para 1011 со след пренатальными лабораторными результатами: Поверхностный антиген гепатита В отрицательный RPR реактивный но нереактивный FTA.","Беременность и роды протекали без осложнений","neutral","0","23f525a8-66c7-11e7-9a61-f45c89b91419"
"Оценка по шкале Апгар - семь баллов в возрасте одной минуты и восемь баллов в возрасте пяти минут.","Беременность и роды протекали без осложнений","neutral","0","2443e048-66c7-11e7-93d0-f45c89b91419"
"Апгар было девять в первую минуту и девять в пятую.","беременность и роды прошли без осложнений","neutral","0","2402338a-66c7-11e7-9bda-f45c89b91419"
"Ребёнок родился [**Название**] в результате спонтанных вагинальных родов с показателями Апгар восемь на одной минуте и восемь на пятой.","Беременность и роды прошли без осложнений","neutral","0","2404fd54-66c7-11e7-86ba-f45c89b91419"
"ИСТОРИЯ: Девочка [**Фамилия 10753**] родилась на 31-5/7 неделе путём кесарева сечения от 31-летней матери со следующими пренатальными результатами: 1я положительная антитела отрицательные сифилис нереактивный краснуха иммунная поверхностный антиген гепатита B отрицательный.","Беременность и роды прошли без осложнений","neutral","0","241018f6-66c7-11e7-a6bd-f45c89b91419"
"ИСТОРИЯ: Ребёнок [**Имя 21436**] - 2665-граммовый младенец от беременности на сроке 35 недель.","Беременность и роды прошли без осложнений","neutral","0","24245aca-66c7-11e7-a488-f45c89b91419"
"ИСТОРИЯ: 35-недельный младенец мужского пола [**Год**] родившийся в результате самопроизвольных вагинальных родов после спонтанного начала родов у 24-летней женщины с 3й беременностью (пред. 2 без выкидышей).","Беременность и роды прошли без осложнений","neutral","0","189820d4-66c7-11e7-8d73-f45c89b91419"
"У матери начались спонтанные роды и она родила вагинально.","Беременность матери протекала без осложнений.","neutral","0","2442101a-66c7-11e7-b608-f45c89b91419"
"Беременность была осложнена тем что у 2 близнеца (ангидрамниоз двусторонние мультикистозные диспластические почки короткие бедренные кости тяжелое ограничение внутриутробного развития).","Беременность осложнилась врожденным пороком у 2 близнеца","entailment","1","2402dab0-66c7-11e7-9b1f-f45c89b91419"
"В дополнение к диабету матери с двумя эпизодами ДКА во время беременности беременность осложнилась гиперемезисом беременных требующим ........ с 8-10 недель.","Беременность осложнилась диабетическим кетоацидозом","entailment","1","2416c90a-66c7-11e7-b579-f45c89b91419"
"Сообщается что беременность ничем не примечательна.","Беременность осложнилась преждевременным разрывом плодных оболочек","contradiction","2","2411f04a-66c7-11e7-b6cd-f45c89b91419"
"Мать была переведена из [**Больница 1238**] для дальнейшего лечения HELLP-синдрома.","Беременность осложнилась преэклампсией","entailment","1","2422cd90-66c7-11e7-8081-f45c89b91419"
"Беременность протекала без особых осложнений за исключением разрешившейся субхориальной гематомы.","Беременность осложнилась преэклампсией","contradiction","2","23f1b1a4-66c7-11e7-a8ac-f45c89b91419"
"Беременность осложненная разрывом оболочек на [**7-31**].","Беременность осложнилась разрывом околоплодного мешка","entailment","1","24431da2-66c7-11e7-8080-f45c89b91419"
"Пациентка находилась под усиленным наблюдением со стороны ЭКО-врачей с периодическим проведением биофизических тестов.","Беременность относится к группе высокого риска","entailment","1","2444b61a-66c7-11e7-ac0d-f45c89b91419"
"Выполненное тестирование плода было обнадёживающим.","Беременность протекает без осложнений","neutral","0","240b7364-66c7-11e7-bf3c-f45c89b91419"
"Мать пропила курс бетаметазона после предыдущей госпитализации на сроке 25-5/7 недель.","Беременность протекает без осложнений","neutral","0","2438dfac-66c7-11e7-a230-f45c89b91419"
"Самочувствие плода было обнадеживающим с нормальным биофизическим профилем.","Беременность протекает без осложнений","neutral","0","243e1ad2-66c7-11e7-9414-f45c89b91419"
"Мать лечили сульфатом магния антибиотиками и бетаметазоном а затем индометацином.","беременность протекает без осложнений","contradiction","2","23fe08fa-66c7-11e7-818f-f45c89b91419"
"Акушерское обследование показало раскрытие на 3 см.","Беременность протекает в срок","neutral","0","240e918c-66c7-11e7-9766-f45c89b91419"
"ИСТОРИЯ: [**Фамилия 3093**] - 3827 грамм в результате срочной беременности.","беременность протекала без осложнений","neutral","0","23f71a9a-66c7-11e7-a5ad-f45c89b91419"
"Родители являются членами общества анонимных наркоманов. Говорят что последний раз мать употребляла психоактивные вещества за 8 месяцев до времени первого дородового визита что составляет 15-16 месяцев на момент родов.","Беременность протекала без осложнений","neutral","0","2420faf6-66c7-11e7-982a-f45c89b91419"
"Мать получала RhoGAM на 28 неделе беременности.","Беременность протекала без осложнений","neutral","0","2423b56e-66c7-11e7-944f-f45c89b91419"
"Разрыв плодных оболочек произошел за 14 часов до родов.","Беременность протекала без осложнений","neutral","0","24465562-66c7-11e7-9161-f45c89b91419"
"В интранатальном периоде отмечалось окрашивание околоплодных вод меконием но не было выявлено факторов риска сепсиса.","Беременность протекала без осложнений","neutral","0","1894620a-66c7-11e7-a50b-f45c89b91419"
"Сообщается что беременность ничем не примечательна.","Беременность протекала без осложнений","entailment","1","2411eec2-66c7-11e7-a54a-f45c89b91419"
"Эта беременность осложнилась дискордантностью роста отмеченной примерно за неделю до родов а мать поступила [**2676-1-6**] с гипертонией и протеинурией.","беременность протекала без осложнений","contradiction","2","2402b634-66c7-11e7-bb30-f45c89b91419"
"Беременность была осложнена тем что у 2 близнеца (ангидрамниоз двусторонние мультикистозные диспластические почки короткие бедренные кости тяжелое ограничение внутриутробного развития).","Беременность протекала без осложнений","contradiction","2","2402dd1c-66c7-11e7-a26e-f45c89b91419"
"Беременность осложнилась развитием преэклампсии в результате чего мать была госпитализирована на 22 неделе беременности.","Беременность протекала без осложнений","contradiction","2","2416930c-66c7-11e7-9a63-f45c89b91419"
"В дополнение к диабету матери с двумя эпизодами ДКА во время беременности беременность осложнилась гиперемезисом беременных требующим ........ с 8-10 недель.","Беременность протекала без осложнений","contradiction","2","2416cb06-66c7-11e7-b2ce-f45c89b91419"
"Мать была переведена из [**Больница 1238**] для дальнейшего лечения HELLP-синдрома.","Беременность протекала без осложнений","contradiction","2","2422d040-66c7-11e7-a7d3-f45c89b91419"
"ИСТОРИЯ: [**Известная фамилия пациента**] - младенец рождённый на 39 неделе беременности весом 5060 кг рожденный 31-летней женщиной gravida 4 para 2 сейчас 3 гр. 2+ пренатальный скрининг не благоприятный для родов беременность осложнена гестационным диабетом контролируемым диетой.","Беременность протекала без осложнений","contradiction","2","242c1fcc-66c7-11e7-9c62-f45c89b91419"
"Беременность осложненная разрывом оболочек на [**7-31**].","Беременность протекала без осложнений","contradiction","2","24431fba-66c7-11e7-ab8b-f45c89b91419"
"В дальнейшем беременность осложнилась гипертонической болезнью.","беременность протекала без осложнений","contradiction","2","2444653e-66c7-11e7-bf00-f45c89b91419"
"Беременность осложнилась кровянистыми выделениями на 18 и 26 неделе.","Беременность протекала без осложнений","contradiction","2","2449db5e-66c7-11e7-b9aa-f45c89b91419"
"Находилась в больнице в течение одного месяца за пять дней до родов.","беременность протекала без осложнений","contradiction","2","189961ee-66c7-11e7-97a9-f45c89b91419"
"Мембраны были искусственно разорваны примерно за 5 часов до родов выделена прозрачная жидкость.","Беременность протекала без осложнений роды были доношенными","neutral","0","2408e4ac-66c7-11e7-b331-f45c89b91419"
"Беременность осложнилась укорочением шейки матки после установки серкляжа на 22 неделе беременности.","беременность протекала без осложнений.","contradiction","2","24434370-66c7-11e7-8a97-f45c89b91419"
"Беременность характеризующаяся вынашиванием двух близнецов и размещением серкляжа на 14 неделе.","Беременность является моногестационной.","contradiction","2","23f2cc5e-66c7-11e7-b925-f45c89b91419"
"Пульс возобновился в 7:05.","Беспульсовая электрическая активность в 7:05","contradiction","2","189ccaf0-66c7-11e7-bb2c-f45c89b91419"
"Респираторный статус стабилен до 10 дня после чего постепенно усилилась одышка ортопноэ и появилась пароксизмальная ночная одышка.","Бессимптомный пациент.","contradiction","2","189a7c98-66c7-11e7-b930-f45c89b91419"
"Атенолол 25 мг 2 раза в день.","Бета-блокаторные лекарства","entailment","1","24492c66-66c7-11e7-8727-f45c89b91419"
"Развилась прогрессирующая гипербилирубинемия в основном непрямая считалась вероятным гемолизом при переливании крови.","Билирубин в норме","contradiction","2","24284bda-66c7-11e7-95d2-f45c89b91419"
"Впоследствии была проведена ЭГДС и биопсия обнаружившие язву двенадцатиперстной кишки размером 3-4 см.","Биопсия была нормальной","contradiction","2","24273aae-66c7-11e7-9a9a-f45c89b91419"
"Биопсия костного мозга проведенная в другой больнице показала миелодиспластическую картину клеток.","Биопсия костного мозга в норме","contradiction","2","23f7a1c2-66c7-11e7-9569-f45c89b91419"
"Биопсия костного мозга проведенная в другой больнице показала миелодиспластическую картину клеток.","Биопсия костного мозга с отклонениями","entailment","1","23f79ff6-66c7-11e7-a6e9-f45c89b91419"
"Рецидив отмечен при биопсии мозга [**2663-5-19**].","Биопсия мозга нормальная","contradiction","2","23ed1452-66c7-11e7-841b-f45c89b91419"
"Биопсия почек при поступлении в клинику с признаками постинфекционного гломерулонефрита.","Биопсия почки без особенностей","contradiction","2","242659e8-66c7-11e7-ae65-f45c89b91419"
"Самочувствие плода было обнадеживающим с нормальным биофизическим профилем.","Биофизический профиль был нарушен","contradiction","2","243e1846-66c7-11e7-819b-f45c89b91419"
"Снят с бипапа.","Бипап помогает лучше дышать во время обострения ХСН.","neutral","0","23f1f68a-66c7-11e7-aca5-f45c89b91419"
"Снят с бипапа.","Бипап увеличивает давление в конце выдоха.","entailment","1","23f1f2e8-66c7-11e7-b7e5-f45c89b91419"
"Хроническая анемия 8.","Бледность","neutral","0","2419d402-66c7-11e7-a42d-f45c89b91419"
"Младенцы родились путём кесарева сечения [**2977-11-12**] из-за опасений по поводу ограничения роста близнеца 1.","Близнец 1 более подвержен риску чем второй","entailment","1","23f6b186-66c7-11e7-b513-f45c89b91419"
"ЭКО дихориальная диамниотическая двойня редуцированная из тройни.","Близнецы были одного пола","neutral","0","18990ee4-66c7-11e7-a672-f45c89b91419"
"Это естественное вынашивание двойни.","Близнецы зародились в отдельных яйцеклетках.","neutral","0","1895e250-66c7-11e7-825f-f45c89b91419"
"ЭКО дихориальная диамниотическая двойня редуцированная из тройни.","Близнецы имели общую плаценту","contradiction","2","18990c30-66c7-11e7-ad41-f45c89b91419"
"Это естественное вынашивание двойни.","Близнецы имеют один и тот же амниональный мешок.","contradiction","2","1895e0c8-66c7-11e7-91ef-f45c89b91419"
"После выписки в течение 2 недель чувствовал себя неважно жаловался на ухудшение одышки сильную усталость без кашля и температуры.","Болеет уже 2 недели","entailment","1","23f56a38-66c7-11e7-95e0-f45c89b91419"
"За неделю до госпитализации он отметил прогрессирующее увеличение. В отделении скорой помощи был отмечен синдром парадоксального пульса со значением 15.","Болеет ХОБЛ","neutral","0","2422dcfa-66c7-11e7-9d8d-f45c89b91419"
"Находится на домашнем кислородном режиме (2л через назальную канюлю).","Болеет ХОБЛ","neutral","0","24458450-66c7-11e7-b522-f45c89b91419"
"Хроническая обструктивная болезнь лёгких.","Болезнь которая может быть вызвана курением сигарет.","entailment","1","240cdf38-66c7-11e7-8760-f45c89b91419"
"Цирроз -> считается вторичным по отношению к пищевому расстройству.","Болезнь печени","entailment","1","2417100c-66c7-11e7-b207-f45c89b91419"
"Хроническая почечная недостаточность.","Болезнь почек","entailment","1","24035c42-66c7-11e7-b686-f45c89b91419"
"Была проведена сердечная катетеризация консультация по поводу коронарной реваскуляризации.","Болезнь сердца","entailment","1","189d196c-66c7-11e7-a5a0-f45c89b91419"
"(Следует отметить что по данным осмотра аптечки у него дома он выкупил лекарства только рецепт только от [**2755-9-17**] но по данным [**Больница 251**] он купил препараты из рецепт как от [**2755-6-9**] так и [**2755-1-9**]. Сам пациент не может предоставить более подробную историю болезни). Он также начал принимать теразозин [**6-12**].","Болен аденомой простаты","neutral","0","2426925c-66c7-11e7-8783-f45c89b91419"
"Впоследствии у него развился инфильтрат в правой верхней доле.","Болен пневмонией","neutral","0","243b1aa6-66c7-11e7-977e-f45c89b91419"
"Дискомфорт в груди прошёл вне больницы после приема нитратов и рецидивов загрудинной боли не было.","Боли в груди никогда не возникали.","contradiction","2","23ef3e4c-66c7-11e7-ace7-f45c89b91419"
