"sentence1","sentence2","sent_1","sent","id"
"Охарактеризовал свою боль как стеснение и жжение в груди с сопутствующей иррадиацией в шею челюсть и руки.","В анамнезе - ибс и гипертония","neutral","0","23ec019e-66c7-11e7-9f7f-f45c89b91419"
"В рамках обследования на наличие метастазов ей была проведена МРТ которая выявила множественные метастазы в головном мозге самый большой из которых был размером 15 см.","Пациент страдает болезнью воздействующей на всё тело","neutral","0","23ec1da4-66c7-11e7-b5f3-f45c89b91419"
"Мог удержать молоко не было ни рвоты ни аспирации.","пациент недоношен","neutral","0","23ec252c-66c7-11e7-8ba3-f45c89b91419"
"Рентгенография показала низкий объем лёгких отсутствие очаговой консолидации или плеврального выпота минимальный левый базилярный ателектаз.","У пациента ранняя аспирация","neutral","0","23ec2a40-66c7-11e7-bef3-f45c89b91419"
"Отрицал наличие кашля дизурии головной боли светобоязни ригидности шеи или диареи.","Менингита в анамнезе не было","neutral","0","23ec3094-66c7-11e7-bd4a-f45c89b91419"
"В настоящее время ее состояние стабильное отключена от прессоров и ИАБП.","В анамнезе инфаркт миокарда","neutral","0","23ec3f3a-66c7-11e7-88e5-f45c89b91419"
"Назначили депакот для профилактики судорог а также ативан.","у пациента опухоль головного мозга","neutral","0","23ec4426-66c7-11e7-98a2-f45c89b91419"
"75-летний мужчина с фибрилляцией предсердий гипертонией дислипидемией и ТГВ (во время приема кумадина сейчас принимает логенокс). У него в течение 1 дня наблюдалось ухудшение одышки и кашель с прозрачной мокротой.","у пациента пневмония","neutral","0","23ec4a28-66c7-11e7-8032-f45c89b91419"
"ТИА [**5-/3025**] которая была вылечена.","У пациента аномальная МРТ головного мозга","neutral","0","23ec5240-66c7-11e7-91f6-f45c89b91419"
"Ее абдоминальное обследование было доброкачественным.","У пациента нет острого внутрибрюшного процесса.","neutral","0","23ec5982-66c7-11e7-8e62-f45c89b91419"
"Желудочно-кишечный тракт: [**Фамилия пациента 635**] начал принимать Реглан и Зантак [**10-16**] чтобы максимально усилить медикаментозную терапию которая может быть причиной приступов апноэ и брадикардии.","В анамнезе ожирение","neutral","0","23ec61ae-66c7-11e7-be8c-f45c89b91419"
"Принял немного оксикодона но без облегчения.","Боли в животе","neutral","0","23ec68ac-66c7-11e7-bc27-f45c89b91419"
"ВРЭ септический тромбофлебит возле катетера ([**1-19**]) линезолид) 6.","пациенту установлен центральный катетер","neutral","0","23ec6dfa-66c7-11e7-a85e-f45c89b91419"
"Она была осмотрена в [**Больница 294**] на [**6-17**] на тот момент считалось что менее всего это инфекционный процесс.","У пациента высокая температура и повышенный уровень лейкоцитов","neutral","0","23ec7b42-66c7-11e7-9dc6-f45c89b91419"
"Кардиостимулятор при синдроме слабости синусового узла.","Пациенты с кардиостимуляторами страдают фибрилляцией предсердий.","neutral","0","23ec80f8-66c7-11e7-9771-f45c89b91419"
"Скорая помощь застала её дома. Она призналась что приняла 60 мг цимбалты 12 мг ципрогептадина и 22 мг клонопина с целой бутылкой вина (750 мл).","У неё была история депрессии","neutral","0","23ec899c-66c7-11e7-bc06-f45c89b91419"
"На [**3313-12-1**] ему проведена частичная вертебрэктомия сращение дебридмент и установка вертебрального спейсера в 3-4 позвонках.","У пациента болит спина","neutral","0","23ec91cc-66c7-11e7-a914-f45c89b91419"
"-Колоректальный рак: T3N2 диагностирован 2 года назад резекция ([**5-17**] LN+) метастазы в печень и мозг последний карциноэмбриональный антиген 7.4 Химия: последняя [**11-12**] -Гиперлипидемия -ГЭРБ","История мелены","neutral","0","23ec98ec-66c7-11e7-8971-f45c89b91419"
"Поступил в приёмный покой с жалобами на рвоту и слабость.","У пациента тошнота","neutral","0","23ec9f2c-66c7-11e7-8e44-f45c89b91419"
"ИБC с акш (LIMA to LAD SVG to OM) ЧКВ ([**3-4**]) 2.","у пациента сердечная недостаточность","neutral","0","23eca4fe-66c7-11e7-89c1-f45c89b91419"
"Прошел ОРИФ правого коленного сустава на [**11-19**]. - операция по восстановлению разорванного сухожилия надколенника в [**3227**] .","Пациент испытывает боль в колене","neutral","0","23ecaae2-66c7-11e7-bea0-f45c89b91419"
"Рецидивирующий плевральный выпот - неясной этиологии цитология в прошлом была отрицательной.","у пациента рак лёгких","neutral","0","23ecb578-66c7-11e7-a8db-f45c89b91419"
"возраст [**7-24**] ОПН с артритом шумом в сердце. возраст 20 лет Гипертония 4+ лабильная с эпизодами [**месяц/год (2) 21269**] до 200/100 по поводу которых он обращался в стационар для контроля.","Принимает антигипертензивные препараты","neutral","0","23ecbc76-66c7-11e7-bf1e-f45c89b91419"
"Отрицала потерю сознания или очаговую боль.","В анамнезе травма головы","neutral","0","23ecc2ca-66c7-11e7-bc15-f45c89b91419"
"Женщина 83 года с признаками гипертонии ИБС с диастолической дисфункцией стенозом правой почечной артерии с повышенной вялостью и слабой отзывчивостью в течение 1 дня.","У пациента развилась диастолическая дисфункция из-за давней гипертонии.","neutral","0","23ecc96e-66c7-11e7-b420-f45c89b91419"
"Говорит что боль по характерку была похожа на ту которую она испытывала когда у неё был ИМ.","У пациента повышенный тропонин","neutral","0","23ecced2-66c7-11e7-9265-f45c89b91419"
"47-летняя женщина с гепатитом/циррозом печени [**месяц/день/год 1222**]. Направлена в связи с аномальными анализами лейкоциты 77K на [**7-7**].","У пациента спонтанный бактериальный перитонит.","neutral","0","23ecd5f6-66c7-11e7-a1b3-f45c89b91419"
"Мать поступила [**12-15**] с вагинальным кровотечением и большим сгустком крови обнаруженным на УЗИ.","Пациентка жаловалась на боль в области таза","neutral","0","23ecdbe8-66c7-11e7-8728-f45c89b91419"
"При поступлении в РО: сист ад ~70 О2 насыш 97% чсс 68 Лабеталол прекратили и назначили физраствор с нормализацией сист давления в 90-100.","У пациента была передозировка лабеталола.","neutral","0","23ece2b4-66c7-11e7-b537-f45c89b91419"
"Общее время сердечно-легочного шунтирования составило 113 минут.","У пациента ЗПА","neutral","0","23ece794-66c7-11e7-8f2a-f45c89b91419"
"Впоследствии пациент начал принимать левофед в дозе 003 мкг/кг/мин.","У пациента септический шок","neutral","0","23ecf042-66c7-11e7-bad6-f45c89b91419"
"Девочка [**Фамилия пациента 39746**] родилась в результате повторного планового кесарева сечения с оценкой по шкале Апгар 4 на первой минуте 5 на пятой минуте и 7 на десятой минуте.","Пациентка родилась недоношенной.","neutral","0","23ecf7a4-66c7-11e7-ac47-f45c89b91419"
"Реагировал на голосовые просьбы и пытался сесть.","По анамнезу у него была передозировка наркотиками","neutral","0","23ecfce2-66c7-11e7-a162-f45c89b91419"
"Для этого начала принимать ибупрофен в дозе.","У пациента травма опорно-двигательного аппарата.","neutral","0","23ed0302-66c7-11e7-80c0-f45c89b91419"
"В приёмном покое в 17:55 было отмечено что начальный уровень уровень сахара в крови (при взятии крови из пальца) был 142 затем снизился до 74 к 18:30 начата капельница D10 со скоростью 100 мг/час с тех пор сахар был 83-143-11 каждые 40 минут.","У пациента была передозировка инсулином","neutral","0","23ed0a8c-66c7-11e7-b043-f45c89b91419"
"Гемистернотомия и удаление электродов из сердца [**3090-11-5**].","клиническая бригада пытается получить МРТ","neutral","0","23ed0f9e-66c7-11e7-9adb-f45c89b91419"
"Рецидив отмечен при биопсии мозга [**2663-5-19**].","Внутричерепное новообразование","neutral","0","23ed1964-66c7-11e7-aaa6-f45c89b91419"
"Ей поставили капельницу с бикарбонатом и дали активированный уголь в связи с предполагаемой трициклической передозировкой.","У неё тяжелая депрессия","neutral","0","23ed2a58-66c7-11e7-bcc4-f45c89b91419"
"По прибытии в [**Больница**] у пациента: Т 370 ЧСС 128 АД 111/55 ЧДД 20 02 сат 100% на 2л.","У пациента в анамнезе ХОБЛ","neutral","0","23ed424a-66c7-11e7-8ea0-f45c89b91419"
"Её первоначальное обследование проводил доктор [**Фамилия 8265**] на тот момент у пациентки была боль в верхнем квадранте без тошноты рвоты лихорадки озноба или усталости гепатоспленомегалии желтухи или энцефалопатии.","У неё в анамнезе болезнь желчного пузыря","neutral","0","23ed62e8-66c7-11e7-bfe0-f45c89b91419"
"Я указал ему что у него было симптоматическое проявление опухоли вероятно являеющееся злокачественным по своей природе.","У пациента рак лёгких.","neutral","0","23ed7b00-66c7-11e7-85da-f45c89b91419"
"53-летний мужчина с прогрессирующим рассеянным склерозом и недавним эпизодом уросепсиса поступил по направлению своего лечащего врача с общей слабостью и тахикардией.","Пациент страдает неврологическим заболеванием","neutral","0","23ed986c-66c7-11e7-9e9e-f45c89b91419"
"Наджелудочковая тахикардия Фибрилляция предсердий наблюдаемая на нескольких результатах ЭКГ.","У больного застойная сердечная недостаточность.","neutral","0","23eda438-66c7-11e7-8775-f45c89b91419"
"Катетеризация сердца показала CO 409 CI 195 PCWP 21 RA 12 PA 51/22 LMCA в норме ПМЖВ: поражение среднего сегмента 80% с умеренным кальцием LCX: недоминирующий сосуд с поражением среднего сегмента 90% после OM1.","у пациента диабет","neutral","0","23edb130-66c7-11e7-aed8-f45c89b91419"
"К [** 3–23 **] его уровень бикарбоната увеличился до 12 а его креатинин - до 14.","Пациент с ХБП","neutral","0","23edbebe-66c7-11e7-b986-f45c89b91419"
"Нога чуть выше колена была прохладной и в пятнах.","У пациента ЗПА","neutral","0","23edc512-66c7-11e7-b466-f45c89b91419"
"Тест был прекращен и первоначальные изменения на ЭКГ пациента в значительной степени исчезли.","У пациента в анамнезе есть аритмия","neutral","0","23eddef8-66c7-11e7-98e2-f45c89b91419"
"В настоящее время она не способна ответить на вопросы.","Она взволнована","neutral","0","23edf5e6-66c7-11e7-8b83-f45c89b91419"
"Мужчина 44 лет поступил с множественными ножевыми ранениями левой половины грудной клетки травмой диафрагмы и разрывом печени.","Пациенту сделали переливание крови","neutral","0","23ee01da-66c7-11e7-9ac1-f45c89b91419"
"Наркомания внутривенно на метадоне 5.","У пациента был гепатит С.","neutral","0","23ee0b30-66c7-11e7-aac0-f45c89b91419"
"Транзиторная ишемическая атака в [**2524**].","у пациента нет неврологического дефицита","neutral","0","23ee1f62-66c7-11e7-88ba-f45c89b91419"
"Рентген выявил необычное помутнение в левом латеральном аспекте левой верхней доли и просветление медиально.","У пациента пневмония левой верхней доли.","neutral","0","23ee2714-66c7-11e7-9240-f45c89b91419"
"У неё было 2 предыдущих эпизода онемения языка первый эпизод произошел [**3-/2903**] без заметных последствий. Никому не рассказывала об этих случаях.","Пациентка страдает ТИА.","neutral","0","23ee2dd8-66c7-11e7-8030-f45c89b91419"
"Затем она стала вялой не реагировала на окружающую обстановку левый зрачок расширен.","У пациента внутричерепное кровоизлияние.","neutral","0","23ee34ca-66c7-11e7-8fdd-f45c89b91419"
"В этот момент пациентка решила приехать в [**Больница 52**] чтобы попасть на приём к своему онкологу доктору [**Фамилия 2609**].","У пациента рак толстой кишки.","neutral","0","23ee3ac2-66c7-11e7-8337-f45c89b91419"
"По имеющимся данным управлял угнанным автомобилем и его преследовала полиция.","Пациент пьян.","neutral","0","23ee430a-66c7-11e7-8037-f45c89b91419"
"ЛОР осмотрел пациента и заметил отек язычка и надгортанника с явным кровотечением из левого полюса миндалины.","У пациента затруднённое дыхание","neutral","0","23ee4a34-66c7-11e7-8a5d-f45c89b91419"
"[**Фамилия 28289**] - 65-летняя женщина с историей болезни лимфомой Ходжкина. У которой была отмечена одышка и обнаружен большой слегка локализованный правый плевральный выпот.","у пациента злокачественный выпот","neutral","0","23ee5070-66c7-11e7-99ac-f45c89b91419"
"В связи с ее обращением по поводу плохо контролируемого диабета были проверены электролиты и у пациентки обнаружен разрыв 26 глюкоза 400 кетонурия.","Пациент имеет более низкий pH крови","neutral","0","23ee581a-66c7-11e7-8405-f45c89b91419"
"В анамнезе варикоз желудка.","История портальной гипертензии","neutral","0","23ee5c82-66c7-11e7-aaa9-f45c89b91419"
"В отделении реанимации у него почти не было рвотного рефлекса но для интубации ему ввели этомидат и сукцинилхолин.","у пациента гипоксическая травма головного мозга","neutral","0","23ee6258-66c7-11e7-93e2-f45c89b91419"
"Почечно-клеточная карцинома состояние после частичной нефрэктомии в [**12-19**].","Наличие у пациента метастатического заболевания","neutral","0","23ee6738-66c7-11e7-977c-f45c89b91419"
"Говорит что утром в день поступления он упал. Наклонился вперед на складной стол для еды который впоследствии рухнул.","у пациента перелом","neutral","0","23ee6d1e-66c7-11e7-bf76-f45c89b91419"
"Проведена люмбальная пункция которая показала наличие бактериального менингита и пациенту начали давать цефтазидим.","Пациенту требуется помощь в отделении интенсивной терапии","neutral","0","23ee764a-66c7-11e7-92fe-f45c89b91419"
"ИСТОРИЯ БОЛЕЗНИ: Пациентка - женщина 64 лет хорошо известная нейрохирургическому отделению.","у пациента была опухоль головного мозга","neutral","0","23ee7b88-66c7-11e7-a623-f45c89b91419"
"Также отмечает прибавку в весе на 2 кг на момент госпитализации.","у пациента сердечная недостаточность.","neutral","0","23ee801a-66c7-11e7-ae73-f45c89b91419"
"Её сатурация была 93% при ком воздухе и 100% на 4л при лицевой маске.","пациент жалуется на одышку","neutral","0","23ee854c-66c7-11e7-9bb9-f45c89b91419"
"До поступления в больницу у неё не было лихорадки озноба или потливости.","У пациента нормальная КТ брюшной полости","neutral","0","23ee8b1e-66c7-11e7-b9c8-f45c89b91419"
"Была начата реанимация ТЭЭ показала что в левом желудочке был воздух.","У пациента плохой прогноз","neutral","0","23ee8fcc-66c7-11e7-9400-f45c89b91419"
"На [**1-24**] пациент начал испытывать тахипноэ и ухудшение боли за грудиной.","у пациента тромбоэмболия легочной артерии","neutral","0","23ee94a6-66c7-11e7-bfef-f45c89b91419"
"[**3386-7-2**] запущен протокол умеренной химиотерапии.","У пациента острая миелоидная лимфома.","neutral","0","23ee9ac8-66c7-11e7-a6df-f45c89b91419"
"Имеется умеренная систолическая гипертензия лёгочной артерии.","У пациента увеличение правого желудочка сердца","neutral","0","23eea586-66c7-11e7-9ef3-f45c89b91419"
"За две недели до госпитализации [**2574-7-14**] у пациента наблюдалось обострение сыпи и нарастание температуры.","у пациента был целлюлит","neutral","0","23eeaacc-66c7-11e7-a941-f45c89b91419"
"В связи с постоянным и умеренным дистрессом младенец был доставлен в отделение интенсивной терапии новорожденных для обследования.","у пациента транзиторное тахипноэ новорожденного","neutral","0","23eeb2f6-66c7-11e7-89ed-f45c89b91419"
"Мужчина 57 лет с гипертонией гиперхолестеринемией СОАС. Поступил с недельным кашлем и одышкой при нагрузке в течение 2 дней.","Пациент принимает лекарства","neutral","0","23eebaa6-66c7-11e7-a1f9-f45c89b91419"
"Пациент понимал риски и преимущества процедуры включая кровотечение инфекцию инфаркт миокарда инсульт смерть почечную и легочную недостаточность а также возможность переливания крови.","Пациент собирается сделать катетеризацию сердца","neutral","0","23eec234-66c7-11e7-8152-f45c89b91419"
"Пациент получил парацетамола 1 грамм перорально болюс физраствора 500 кубиков торадол и аспирин.","У пациента хроническая боль","neutral","0","23eec7c8-66c7-11e7-8196-f45c89b91419"
"Гипертония диагностирована в [**3186**].","Пациент принимает лекарства от гипертонии","neutral","0","23eecc5a-66c7-11e7-9ebf-f45c89b91419"
"Подтверждает увеличение веса по крайней мере на 23 кг с [**Месяц 948**].","Пациентка страдает ожирением.","neutral","0","23eed238-66c7-11e7-9c87-f45c89b91419"
"Пациент получил две единицы эритроцитов два литра физиологического раствора повышающего его артериальное давление.","Пациенту установлена капельница","neutral","0","23eed75e-66c7-11e7-bec7-f45c89b91419"
"54-летний мужчина с лапароскопическим желудочным шунтированием ([**7-17**]). Переведён с болью в груди снижением гематокрита и выпотом в перикарде.","Пациент недавно перенес инфаркт миокарда.","neutral","0","23eee2ee-66c7-11e7-a1a4-f45c89b91419"
"Сообщила о легкой заложенности носа и субъективным ощущениям повышения температуры.","У пациентки бактериальная инфекция","neutral","0","23eeecd0-66c7-11e7-9c62-f45c89b91419"
"ЭГДС выявила несколько поверхностных некровоточащих язв размером 3 мм в пилорусе и инцизуре желудка.","Пациент жалуется на боль в животе","neutral","0","23eef498-66c7-11e7-b2fb-f45c89b91419"
"В течение следующих двух больничных дней газы артериальной крови пациента показали снижение гиперкапнии и улучшение артериальной оксигенации.","Пациент интубирован.","neutral","0","23eefa38-66c7-11e7-94ef-f45c89b91419"
"Тендинит правой руки.","У пациента есть результаты рентгенологического исследования","neutral","0","23ef00c6-66c7-11e7-acd6-f45c89b91419"
"Его O2 насыщение остается выше 90% на комнатном воздухе но падает когда пациент засыпает.","У пациента ХСН","neutral","0","23ef05c6-66c7-11e7-bf2b-f45c89b91419"
"Переведен из [**Больница 22**] на катетеризацию с выявленным 3х сосудистым заболеванием и болью с слева.","У пациента в анамнезе гипертония гиперлипидемия и ожирение","neutral","0","23ef0aee-66c7-11e7-90a9-f45c89b91419"
"Начат приём зосина для лечения аспирационной пневмонии анализ мочи подтвердил ИМП с псевдомонадами.","У больного дисфагия.","neutral","0","23ef1412-66c7-11e7-907b-f45c89b91419"
"Опухоль была ER+/HER-2-NEU положительной она проходит терапию тамоксифеном.","Пациентка имеет отклонения на ПЭТ/КТ снимках","neutral","0","23ef20ec-66c7-11e7-b884-f45c89b91419"
"Имеет хроническую гипертонию которую лечит лабеталолом и гипотиреоз который лечит тироксином.","у пациента ишемическая болезнь сердца","neutral","0","23ef2648-66c7-11e7-96df-f45c89b91419"
"В день поступления обратилась к своему лечащему врачу для проведения обследования.","У пациентки рак.","neutral","0","23ef2d58-66c7-11e7-bb40-f45c89b91419"
"Роды проходили вагинальным путём и младенец появился на свет с хорошим тонусом но ограниченными дыхательными усилиями и плохой аэрацией.","Пациент - младенец женского пола","neutral","0","23ef3366-66c7-11e7-be61-f45c89b91419"
"Прибывшая скорая помощь обнаружила что у пациента глюкоза - 58 [**12-19**] ему вкололи 25 граммов глюкозы показатель улучшился до 166.","Пациент страдает диабетом","neutral","0","23ef399c-66c7-11e7-97e6-f45c89b91419"
"Дискомфорт в груди прошёл вне больницы после приема нитратов и рецидивов загрудинной боли не было.","У пациента стабильная картина стенокардии.","neutral","0","23ef4040-66c7-11e7-884f-f45c89b91419"
"В течение последних двух недель практически не передвигается участились случаи падения (последний раз - прошлой ночью когда вставала чтобы сходить в туалет без потери сознания).","у пациента гидроцефалия нормального давления","neutral","0","23ef4718-66c7-11e7-9d81-f45c89b91419"
"Было отмечено повышенное давление наполнения: давление заклинивания легочного капилляра составило 26 давление в легочной артерии - 56%.","У пациента гипертрофия правого желудочка","neutral","0","23ef4de4-66c7-11e7-b5f2-f45c89b91419"
"4. судороги 5. хроническое расслоение аорты типа А после восстановления [**4-17**] с последним снимком [**3208-11-28**] без прогрессирования 6. целлюлит 7.","Пациент перенес хирургическое вмешательство","neutral","0","23ef5800-66c7-11e7-b887-f45c89b91419"
"Голова глаза уши нос и горло: родничок был плоским и мягким.","У пациента нормальное развитие.","neutral","0","23ef5df0-66c7-11e7-a2a4-f45c89b91419"
"Ни наркотических веществ ни употребления алкоголя.","нет наркотиков","neutral","0","23ef63a4-66c7-11e7-a477-f45c89b91419"
"Собиралась позвонить своему врачу сегодня однако симптомы начались когда она проснулась в полночь поэтому обратилась в скорую.","У пациента острая боль","neutral","0","23ef6a66-66c7-11e7-9d4d-f45c89b91419"
"С его слов во вторник закончил прием антибиотиков хотя не уверен был ли это назначенный ранее Линезолид или другое лекарство.","У пациента был целлюлит.","neutral","0","23ef7614-66c7-11e7-ae9c-f45c89b91419"
"Также госпитализировался в больнице [**Больница 1998**] удаление катетера 2 дня назад.","Почечный стеноз в анамнезе","neutral","0","23ef7f4c-66c7-11e7-bed0-f45c89b91419"
"Подозрение на обструкцию выходного отверстия желудка/частичная кишечная непроходимость вследствие синдрома верхней брыжеечной артерии предполагаемая по данным рентгенографического исследования хотя сужение двенадцатиперстной кишки не обнаружено при повторной ФГДС.","У пациента недавно была потеря веса.","neutral","0","23ef85e6-66c7-11e7-867b-f45c89b91419"
"Проведен рентгенографический рентгеновский снимок который показал наличие пневмонии.","У больного крупозная пневмония.","neutral","0","23ef8c08-66c7-11e7-8862-f45c89b91419"
"Пациент хорошо перенёс ночь в палате интенсивной терапии на синхронизированной прерывисто-принудительной вентиляции. - [**3-10**] при снижении седации у него началось тахипноэ.","Пациент становился тревожным при снижении седации","neutral","0","23ef9400-66c7-11e7-b365-f45c89b91419"
"Продолжал находиться под постоянным положительным давлением в дыхательных путях еще 48 часов а на третий день жизни был переведен на комнатный воздух.","Пациент находится на аппарате БиПАП.","neutral","0","23ef9f22-66c7-11e7-8476-f45c89b91419"
"История расширенных желудочков сердца впервые выявленных в [**3190**] но повторная МРТ в [**3191**] без измений.","У пациента ишемическая кардиомиопатия.","neutral","0","23efa852-66c7-11e7-9b53-f45c89b91419"
"Ишемическая болезнь сердца состояние после ИМ без подъема ST в [**2951**].","Пациент принимает статины бета-блокаторы и ингибиторы ацетилсалициловой кислоты.","neutral","0","23efb228-66c7-11e7-807e-f45c89b91419"
"У неё были повышены МНП (30.0) и тропонин (0.09 - выше исходного уровня).","У пациента сердечная ишемия.","neutral","0","23efbac8-66c7-11e7-9c45-f45c89b91419"
"Все остальные осмотры систем пациента были отрицательными.","Пациент не имеет истории болезни","neutral","0","23efc05e-66c7-11e7-ae12-f45c89b91419"
"Cообщает что всё было хорошо когда он снизил дозу преднизона с 60 мг --> до 40 мг но при снижении до 30 мг/день в плане дыхания ему становиться всё хуже.","Он лечится от болезни лёгких","neutral","0","23efcda6-66c7-11e7-b585-f45c89b91419"
"Отсутствие недавней потери веса лихорадки озноба диареи рвоты тошноты болей в животе.","У пациента действительно желудочно-кишечная инфекция.","neutral","0","23efd5dc-66c7-11e7-aeb5-f45c89b91419"
"Симптомы начались месяц назад с желтухи и потери веса. При эндоскопии у него обнаружили ампуллярную аденому но она была слишком большой для удаления.","Пациент перенес ЭРХПГ","neutral","0","23efdc3a-66c7-11e7-828d-f45c89b91419"
"Двигала всеми конечностями при раздражающей стимуляции.","Она без сознания","neutral","0","23efe748-66c7-11e7-9789-f45c89b91419"
"На [**5-31**] пациент переведен обратно в медицинский центр для дальнейшего обследования коронарной болезни.","Наличие у пациента инфаркта миокарда в анамнезе","neutral","0","23efed80-66c7-11e7-a098-f45c89b91419"
"Пренатальный скрининг: группа крови 3 отрицательная антитела отрицательные иммунитет к краснухе нереактивный RPR отрицательный поверхностный антиген гепатита B статус группы бета-стрептококка отрицательный.","Нет истории болезни","neutral","0","23eff300-66c7-11e7-a676-f45c89b91419"
"Ей была проведена катетеризация сердца которая выявила трехсосудистое заболевание с нормальной левой основной средней левой передней нисходящей артерией 60% диффузным стенозом 90% средней дистальной артерии у начала диагонали серийными поражениями 70% и 90% левой околосердечной артерии и 90% первой тупой краевой и средней правой коронарной артерии 60%.","Пациентке будет полезно провести аортокоронарное шунтирование.","neutral","0","23effdfa-66c7-11e7-8c3e-f45c89b91419"
"Псевдомонадные раневые инфекции.","У пациента пролежни","neutral","0","23f0026e-66c7-11e7-884f-f45c89b91419"
"Минимальное вагинальное кровотечение.","Пациентка недавно родила ребенка.","neutral","0","23f007be-66c7-11e7-ac52-f45c89b91419"
"Катетеризация выявила диффузное поражение трех сосудов вмешательство не проводилось.","У пациента ЗПА","neutral","0","23f00cdc-66c7-11e7-826e-f45c89b91419"
"В [**название отделения больницы 336**] пациенту была поставлена капельница с дилтиаземом и лазиксом.","У пациента хорошая функция почек","neutral","0","23f011dc-66c7-11e7-9c67-f45c89b91419"
"Ей требовалась только кислородная реанимация.","У пациентки ХОБЛ.","neutral","0","23f01922-66c7-11e7-b3a2-f45c89b91419"
"Ему необходима амбулаторная цистоскопия.","у пациента гематурия","neutral","0","23f01e98-66c7-11e7-8342-f45c89b91419"
"хронический отёк нижних конечностей остеоартрит состояние после поясничной ламинэктомии ОНМК","У пациента хронические боли в спине.","neutral","0","23f0233e-66c7-11e7-ae79-f45c89b91419"
"Состояние после удаления левой паховой грыжи.","пациент - мужчина","neutral","0","23f027da-66c7-11e7-9d22-f45c89b91419"
"В [**Больница**]-[**Местонахождение 614**] у неё была обнаружена тахикардия до 120 с при аритмии и гипотония с САД около 90.","Пациенту требуется внутривенные прессорные препараты","neutral","0","23f02e5e-66c7-11e7-be1d-f45c89b91419"
"Афебрилен в течение 24 часов.","Он болел гриппом","neutral","0","23f032e8-66c7-11e7-b3d0-f45c89b91419"
"Двусторонняя потеря слуха.","У пациента кондуктивная тугоухость при громких звуках.","neutral","0","23f0370c-66c7-11e7-940e-f45c89b91419"
"хсн - сохраненная ФВ но многократные госпитализации по поводу обострений хсн 2+ МР [**Имя**] [**Фамилия**] 3.","Наличие у пациента в анамнезе ишемической болезни сердца","neutral","0","23f03cfa-66c7-11e7-a576-f45c89b91419"
"6) Стеноз позвоночного канала.","У пациента обнаружен паралич нижних конечностей","neutral","0","23f04274-66c7-11e7-b4eb-f45c89b91419"
"При выполнении теста палец к носу пытался дотронуться до носа экзаменатора.","Пациент имеет отклонения от нормы при неврологическом обследовании","neutral","0","23f04af8-66c7-11e7-9d04-f45c89b91419"
